***** AT90S4434-A
***** AT90S8535-A
10 (PCINT25/TXD0)PD1
11 (PCINT26/RXD1/INT0)PD2
12 (PCINT27/TXD1/INT1)PD3
13 (PCINT28/XCK1/OC1B)PD4
14 (PCINT294/OC1A)PD5
15 (PCINT30/OC2B/ICP)PD6
16 (PCINT31/OC2A)PD7

4o RESET

29 AREF
27 AVCC
6 GND
18 GND
28 GND
39 GND
17 VCC
38 VCC
5 VCC
***** ATMEGA1284-M
***** ATMEGA164A-M
37 (PCINT0/ADC0)PA0
36 (PCINT1/ADC1)PA1
35 (PCINT2/ADC2)PA2
34 (PCINT3/ADC3)PA3
33 (PCINT4/ADC4)PA4
32 (PCINT5/ADC5)PA5
31 (PCINT6/ADC6)PA6
30 (PCINT7/ADC7)PA7

40 (PCINT8/T0/XCK)PB0
41 (PCINT9/CLKO/T1)PB1
42 (PCINT10/AIN0/INT2)PB2
43 (PCINT11/AIN1/OC0)PB3
44 (PCINT12/OC0B/SS)PB4
1 (PCINT13/MOSI)PB5
2 (PCINT14/MISO)PB6
3 (PCINT15/SCK)PB7

7 XTAL2
8 XTAL1
---






























---
19 (PCINT16/SCL)PC0
20 (PCINT17/SDA)PC1
21 (PCINT18/TCK)PC2
22 (PCINT19/TMS)PC3
23 (PCINT20/TDO)PC4
24 (PCINT21/TDI)PC5
25 (PCINT22/TOSC1)PC6
26 (PCINT23/TOSC2)PC7

9 (PCINT24/RXD0)PD0
10 (PCINT25/TXD0)PD1
11 (PCINT26/RXD1/INT0)PD2
12 (PCINT27/TXD1/INT1)PD3
